team,n_played,points,gd,pos
Odd,15,22,2,6
Odd,16,22,1,8
Odd,17,22,-1,9
Odd,18,22,-2,10
Odd,19,23,-2,9
Odd,20,23,-3,11
Odd,21,24,-3,12
Odd,22,24,-4,13
Odd,23,27,-2,10
Odd,24,30,-1,9
Odd,25,31,-1,9
Odd,26,32,-1,9
Odd,27,32,-7,9
Odd,28,33,-7,9
Odd,29,33,-10,9
Odd,30,33,-13,9
Åsane,1,1,0,11
Åsane,2,1,-2,13
Åsane,3,1,-3,14
Åsane,4,2,-3,15
Åsane,5,5,-2,13
Åsane,6,6,-2,13
Åsane,7,6,-4,13
Åsane,8,9,-3,13
Åsane,9,9,-4,13
Åsane,10,12,-3,13
Åsane,11,13,-3,13
Åsane,12,16,-2,9
Åsane,13,16,-3,11
Åsane,14,17,-3,12
Åsane,15,17,-5,13
Åsane,16,17,-6,13
Åsane,17,17,-8,13
Åsane,18,20,-7,13
Åsane,19,23,-5,10
Åsane,20,24,-5,9
Åsane,21,25,-5,10
Åsane,22,25,-8,12
Åsane,23,25,-10,13
Åsane,24,28,-9,11
Åsane,25,28,-10,11
Åsane,26,29,-10,11
Åsane,27,29,-12,12
Åsane,28,30,-12,12
Åsane,29,30,-15,12
Åsane,30,31,-15,12
